0,1,2,3,4,5,6,7,8,9,number_of_captions
g1_1506,岩のくぼみに水が入っていくと、徐々の亀裂が入り、やがては岩が割れてしまうことを示している。,水の侵食によって岩が割れること,岩にながれる水またはたまった水が時間の経過とともに岩へ浸水してゆき、岩にひびが入り割れる,風化により岩が砕ける過程,石は水がたまるといずれ割れる,,,,,5
g1_1755,地盤がずれている。,地震による地層のずれ方の違い,地層がずれて断層になっている。,地震によって断層がズレる,地面を押す力の働きにより断層ができる。,,,,,5
g1_1814,食物連鎖の様子を表している,食物連鎖の上位存在に何かが流れている,木や昆虫、取りなどを表示させて食物連鎖を表している画像である,植物が虫に、その虫がネズミに、さらにそのネズミが鳥に連鎖的に捕食される。,植物と昆虫と小型哺乳類と大型鳥類の捕食関係,,,,,5
g1_1856,弱肉強食の順序,生き物が進化していく行程を表している,植物と食物連鎖の関係性,花からかえると虫に別れ、虫のほうがトカゲにつずいている。一方かえるから猛禽類そしてバッタ。,鳥は蛙を捕食する。,,,,,5
g1_1934,植物から動物の細胞までの食物連鎖の関係。,食物連鎖を示している,自然界の食物連鎖の順番を表しています。,植物から食べ物になって、動物の糞が植物を育てるという自然界の食物連鎖サイクルを表している,食物連鎖の最初から、最後まで。,,,,,5
g1_2129,イカやサメといった海洋生物を用いて食物連鎖の流れを説明している。,海洋生物の食物連鎖,サメが海の食物連鎖の頂点である。,海中でのバクテリアのようなものから、サメまでの食物連鎖,海の生物は食物連鎖がある,,,,,5
g1_2491,虫の成長過程,昆虫の成長の解説,4つの昆虫と芋虫が横一列に並んでいる。,昆虫の幼虫が成長して成虫になっている,虫が成長する,,,,,5
g1_2534,月は、新月から三日月、半月満月と、日によってその見える姿を変える。,月が時間をかけてどのように変化するか,月の満ち欠け,月の地球からの見え方を表す,月の光が反射している,,,,,5
g1_2535,満月の日の1日間の満ち欠けの様子,月の満ち欠けの様子,月が形を変えている。,この天体は月の満ち欠けです。,月の満ち欠けは大きく分けて８つのパターンに分かれる,,,,,5
g1_2560,月の満ち欠け,月の満ち欠けの様子です,月が徐々に満ちていく。,月が満ちている,月の満ち欠けが時系列に並べられている。,,,,,5
g1_2647,分からない,地球は回転している,地球が周り、月と太陽の見える位置が変わる。,地球は月とともに動く,地球に月が現れる時間,,,,,5
g1_2791,樹木が成長する過程,木が大きくなった,樹木の成長,木は、年数をかけて成長していきます。,木の成長,,,,,5
g1_332,地層が出来る流れについて説明している,恐竜などの大型生物の足跡の化石が、どのように作られていくのかを図解している。,地層の浸食の過程を説明している。,様々な要因によって地層ができる,地層が出来る流れ,,,,,5
g1_3575,葉っぱが育っている。,葉の成長課程,豆類などの成長の行方、,植物の成長の過程について,植物の成長の様子を表している,,,,,5
g1_411,カブトガニから他の生物に進化している。,生物の弱肉強食です,古代生物が様々な生き物に進化している。,水棲生物たちがプランクトンを食べている,卵から大きくなるまで,,,,,5
g1_4405,葉の種類が、様々に存在している。,葉には様々な特徴があることを示している,たくさんの葉っぱの種類を紹介します,木の種類により葉っぱの形が違う,葉の形態によって植物を分類している,,,,,5
g1_4450,3種類の足跡がある。,足の骨の形が進化により変化している,足の裏の違い,足の形は千差万別である,人による足の形,,,,,5
g1_4544,昆虫には胴体と羽を持つものがいる,蜂と蝿と蝶と蜻蛉が横に並んでいる,昆虫がジッと止まっている。,ハチがとまっている。ハエがとまっている。蝶がとんでいる。トンボがとんでいる。,羽のある昆虫の種類,,,,,5
g1_4561,この植物は、花や葉の形状が異なるものもあるが全て同一種別である。,花が3本並んでいる。,花の種類,植物の名称の説明しています。,草は、似たような形に育つものがある。,,,,,5
g1_4621,石の表面は色々な質感がある,４つの石がある,石には様々な種類があり特徴が異なります。,いろんな石の種類の名称です,鉱物にはどのような種類があるか,,,,,5
g1_4718,葉っぱの形の種類について描かれている。,時代ごとの葉っぱの違いに関する説明。,形が違う葉っぱが並んでいる,植物の葉の形にどのようなものがあるか示している,様々な葉を、並べている。,,,,,5
g1_4786,植物の種の解説,植物が半分に切られた,色んな種付き果物の断面のような絵が9つ色んな側面から描かれている。,種子の変化のイラストです。,植物の実を切ると種が並んでいる,,,,,5
g1_4822,植物の種を採取するための一覧図,植物の種,植物の棚になる実が紹介されている,植物の種子が一覧表示されている。,花が咲いている,,,,,5
g1_675,惑星を説明している,自転する惑星は遠心力により楕円形をしている。,太陽の回転方向が表示されている。,月の満ち欠けについて説明されている。,太陽が地球に及ぼしている影響について考えている,,,,,5
g1_767,太陽や地球などの日々の変化、記録,地球から見える月が満ち欠けしている,月は位置によって形を変える。,太陽、地球、月の位置関係に応じた月の満ち欠けを９段階に分けて横に並べている解説図です。一番上に太陽、その下に地球と位置の違う月、一番下にそれに応じた月の満ち欠けが図示されています。,地球から見る太陽の位置に変化による月の見え方。,,,,,5
g1_940,野鳥の特徴の解説,鳥のひなが、徐々に成長し、大人の鳥になる。,6種類の鳥のくちばしの図解,鳥類にはいくつかの種目がある,鳥の種類を表している,,,,,5
g1_953,葉の形状の違いをあらわしている,葉の種類の説明。網状の葉とまっすぐな葉の違い,さまざま形状を持つ葉っぱが茎から延びている,神は細部をデザインした,これは様々な葉っぱの葉脈の数の違いだ。,,,,,5
g1_961,それぞれ特徴の違う葉っぱが上部のみを隠している。,植物の葉っぱの形状について,8つの植物が茎から延びている,葉と茎の形の違いが一覧表示されている。,葉っぱの模様の種類を表している,,,,,5
g1_991,植物の細胞が並んでいる。,様々な葉の表面構造についての絵が描かれている。,植物の気孔,細胞が分裂している,葉緑体の形,,,,,5
g2_1025,木々から落ちた葉の違い,5種類の葉が並んでいる。,木の種類による葉っぱの違いを説明している。,葉っぱの成長状態と健康状態を説明しています。,葉の動脈や大きさ、形は様々で異なっている,,,,,5
g2_1053,乾電池の電気の流れを表している,電気の付く仕組みを表している,電池に繋ぐと電球が光ります。,電流はプラスからマイナスへ流れる,ランプは乾電池を繋ぐ事で光る。,,,,,5
g2_1057,並列と直列のつなぎ方,どのように電池を使えば豆電球に明かりがつくのかを説明,電球の付き方、どのように明るくつくのかなど。,一本の乾電池と2つの電球が繋がっている。,同じ電池なら配線違いでも電球の数が同じなら光度は一緒だった,,,,,5
g2_1111,緑色の葉っぱが茎に寄り添うように生えている。,植物の部位の説明,植物の葉の呼称を表しています,葉が枝に付いている,葉っぱには茎から葉脈を通して栄養分が送られている,,,,,5
g2_1147,植物は地中部分と地上部分でどんな部位があるのか,植物の説明,水が吸収されている。,花の詳しい呼び名が書いてある,花の全体的な種類の説明をしている,,,,,5
g2_1149,花が根を張っている,トマトについて植物学的に説明している,植物の部位を説明しています。,植物の各パーツの説明,植物は根っこにより生えている,,,,,5
g2_1157,植物の部位を表したものになります。,花や葉、茎、根など植物の形状。,苺の実がなり始めた。,苺のそれぞれの部分の形と名称。,植物は、葉と根っこ、花、実、茎からできています。,,,,,5
g2_1193,花が咲いている,花のめしべとおしべの形状や名称について説明されている。,植物の受粉の仕組みが、おしべやめしべの絵を使って示されている。,花びらがピンク色だ。,花の各部分の名称を説明した物である,,,,,5
