0,1,2,3,4,5,6,7,8,9,number_of_captions
g1_1026,植物はこうして進化した,植物が成長している。,松には、様々な葉や種子がある。,植物が成長した,,,,,,4
g1_1042,地球は太陽の周りをまわっている,地球が太陽の周りを回っていると同時に、自転している,自転の変化を表している,地球が太陽の周りを回っている。,,,,,,4
g1_1043,地球は、太陽の周りを周回しており自転と位置関係により日照時間に差が出る。,恒星と惑星の公転軌道が図示されている,地球は太陽の周りを１年で１周する,太陽の周りを惑星が周回する様子を描いている。,,,,,,4
g1_1259,月が時間をかけて変化していく,月の満ち欠けの変化,月が満ち欠けする,月の満ち欠けの様子が8種類並べられている。,,,,,,4
g1_1742,地層がずれる。,地震の仕組みを説明した,土地のプレートの様々な滑り込みについての図解,地表の断層,,,,,,4
g1_1837,自然は食物連鎖している,食物連鎖の図です,太陽の恵みによって地球の生命が保たれている。,草は太陽を浴びて育ちます。ウサギは草を食べます。大きな鳥はウサギを食べます。太陽と草、ウサギ、大きな鳥の流れは、食物連鎖を表しています。,,,,,,4
g1_1924,リスとクマは４足歩行する点は同じである,強さの順番,毛皮が茶色いクマが正面を向いている,熊の成長の様子を表している,,,,,,4
g1_1972,シャチ一匹が持っているパワーはこの4匹の生き物合わせたパワーと同等,シャチの仲間を書いてあるようです。,シャチはラッコ・アザラシ・クジラ・イルカと敵対関係にあります。,一番上にシャチがいます。その下にラッコとアザラシがいます。更にその下に、クジラのような細長い生き物とシャチとイルカの中間位の生き物がいます。,,,,,,4
g1_2086,動物の食物連鎖,食物連載の図です,食物連鎖で、動物がサカナや虫を食べている,食物連鎖の流れがどのようになっているか,,,,,,4
g1_2301,野菜が複数ある,西洋カボチャは種の状態から収穫できる実になるまで大まかに6つの段階を経る。,かぼちゃが種から育つまでの過程を表したイラスト,かぼちゃは、種から芽が出て最終的に実をつけます。,,,,,,4
g1_2554,月の満ち欠けの様子,光に当たり方により月の見え方が違う,月の見え方は日によって変化する,月が満ち欠けしている,,,,,,4
g1_302,火災などで燃えた木から再び森は再生する。,朽ち果てた植物が長い年月をかけて成長していき大木となります。,大地に落ちた種子は成長しやがて大木へと成長する。,木々は成長していく,,,,,,4
g1_4336,水色のレモンやミカン、イチゴなど品種改良した果物の画像である,ブルー系の色で着色された苺、マンゴー、レモン、オレンジ,果物に青色の水を与え続けた結果、果物に起きた変化や果物の色,レモンやいちごが青くなっている,,,,,,4
g1_4370,漢方の製造に必要なものが説明されている,漢方の製造過程。,食物の根前が記載されている,食物にはそれぞれ何らかの性質がある,,,,,,4
g1_4393,葉っぱが成長するたびに変わる呼び名,葉っぱが生えている,さまざま形状の葉っぱが開いている,半分に切られた葉っぱの下半分だけが並べられている。,,,,,,4
g1_4502,ある植物が開花するまで６つの段階を経る。,茎と葉は色々な形状があります。,葉っぱが成長していく様子,葉の付き方の違いにおける名称,,,,,,4
