0,1,2,3,4,5,6,7,8,9,number_of_captions
g1_1006,靴底の減り方の種類を説明している,足の裏のどこに体重がかかっているかの説明,足裏の重心,人それぞれ違う重心のかけ方を表した図,足の裏、若しくは偏平足,足の力が入る箇所,,,,6
g1_1007,足の内側の骨は弾力があって衝撃を吸収する,人間の足の骨の形には3種類あります。,足裏の使い方による筋肉及び骨格に対する影響,人間の足の骨格が３種類並んでいる。,人間の足の状態,足の骨は形が変わる,,,,6
g1_1032,葉の形は3種類ある,葉っぱが3枚ある,葉が3種類ある。,3種類の葉っぱが絵で描かれている。,葉っぱが落ち葉になるまでの過程,植物の葉の形はそれぞれ異なる。,,,,6
g1_1041,地球の周りを回っている衛星の関係図,地球の地軸のズレにより、太陽との位置関係によって季節が生じることの説明。,惑星のまわりを衛星が回っています。,惑星の周りにを移動する衛星。,地球の周りを回る惑星たち,太陽の周りを地球が回っている,,,,6
g1_1282,植物の育ち方です,植物の育つ過程,植物の発芽の様子が表されています,これは種が成長する過程だ。,葉は色が変わる。,発芽の様子,,,,6
g1_1304,種から芽が段階的に芽吹いている,種子から発芽していく様子,豆から発芽するまでを時系列で表現している,植物の種子が発芽して成長している。,種の芽が生えてきている。,発芽の仕組みが表示されている。,,,,6
g1_1902,生物の進化,動植物がキノコに影響をあたえるまでの過程,生き物の食物連鎖,食物連鎖の過程について,太陽エネルギーが最終的に菌類に流れている。,食物の連鎖には実は日光も深く関係している,,,,6
g1_199,木が進化している。,植物の種類,植物はシダから始まり大木へと進化した,小さな木は成長して大きな木になる。,草からだんだん大きな木までの高さの違いを描いています。,木が育つまでには長い年月を要します,,,,6
g1_2022,魚の食物連鎖は、大きな魚が小さな魚を捕食し、小さな魚はプランクトンを食べ、プランクトンは植物性のものを食している。,動物の子孫繁栄、遺伝,食物連鎖の説明がされている,海を含んだ生態系の情報,魚の繁殖過程,三種類の魚はそれぞれ遺伝の方法が異なる。,,,,6
g1_2136,宇宙の起源から現在までの進化を説明している,これは惑星の誕生から消滅までを時系列で並べた画像です,赤と紫で光り輝く星が核融合反応を起こして別の星に進化している。,宇宙の星を表している,星ができる仕組みが説明されている。,宇宙の誕生,,,,6
g1_2303,ナナホシてんとう虫と他のてんとう虫との違い,2つのテントウムシの違いを示しています,テントウムシが歩いている,2種類のてんとう虫の紹介写真,てんとう虫が葉の上にいる。,虫の様子が描かれている,,,,6
g1_245,食物連鎖について説明している,生き物の食物連鎖の説明しています。,海層の食生活や、陸地での食生活など。,生き物に必要なものです。,捕食により物質濃度が高くなる,海に住む生物がどの深さに生きているか,,,,6
g1_2539,月の満ち欠けの種類が説明されている,月の満ち欠けが紹介された,月の満ち欠け,月等の日々の照り方、仕組みなど。,世界の昼と夜の時間について,月の満ち欠け,,,,6
g1_2734,月の満ち欠け,月の模様を表している,月の満ち欠けが、時系列で示してある。,月の満ち欠けの順番を表している,月は一定の周期で満月になるのを繰り返します。,月の満ち欠け,,,,6
g1_2738,月の満ち欠けを表している,三日月、半月などの月の満ち欠けが変化する。,月の満ち欠けの様子を表しています,月の時期による見え方,複数の様々な円が並んでいる,満月から新月まで月がどう満ち欠けするか,,,,6
g1_2742,月は満ち欠けする,地球の日の当たり方,月が満ちたり欠けたりしている。,地球に対しての太陽の当たり方の説明,月が満ち欠けている,地球が月で影が作られている。,,,,6
g1_2782,土砂崩れの過程,凍った水が亀裂を作り、地形を破壊する,水が溜まることによって崖崩れがおきた,山に雨水が溜まると土がぬかるみ土砂崩れが起こる,たまった水の重みで崩れた,土砂崩れの原因,,,,6
g1_2828,左図は生き物の生まれたばかりの様子を表し、右図にいくに従い成長する,牛や兎は、成長すると大きくなるだけだが、蝶は成長過程で姿が大きく変化する。,蝶は卵から芋虫になり成虫に成長する。ウサギはそのまま体が大きくなり成長する。牛もそのままの姿で体が大きくなり成長する。,子供から大人になるまでの過程,蝶、ウサギ、牛の子供の時と大人になった時の変化の模様。,蝶、ウサギ、牛がどのように成長している過程を示している,,,,6
g1_299,森ができあがる,土からどんどん植物が増えていて、木がたくさん生えている。,木が勝手に育つ,木の名称,草が木になり林になり森になる過程を説明している,木の成長,,,,6
g1_3572,種は土の中で発芽する,植物が芽を出した。,豆が発芽する過程の変化,植物が種から成長している。,植物の成長,種が発芽している,,,,6
g1_4187,山から岩石が海に落ちていく様を描いている画像である,崖は雨などによって浸食され崩れた岩は海底に沈んでいく。,雨による土砂崩れ,雨によって落石が起こる,晴天が一転して荒天となり土砂崩れが発生した,雨が原因で、土砂崩れが起きている。,,,,6
g1_4334,ビーカーに入った個体が溶けて蒸発する,時間の経過と共にビーカー内の成分が蒸発していき、液体の色が薄まっていく実験,個体が液体になり蒸発している,砂糖水を沸騰させた場合にどうなるかを図で解説している,水は、個体になったり液体になったり、水蒸気になったりと温度によって変化します。,氷が溶けてみずになって、蒸発して気体になっている,,,,6
g1_4383,鳥の横顔を並べて、くちばしの違いを示している。,色々な鳥の顔の絵が描かれている。,鳥類のくちばしは種類によって特徴が違う,鳥類のくちばしにはさまざまな形状がある。,鳥類の横顔がどのように違うか。,カラフルな鳥が横を向いている,,,,6
