0,1,2,3,4,5,6,7,8,9,number_of_captions
g1_1016,植物にはたくさんの種類がある,植物の成長過程である。,花の構造と茎をそれぞれ並べている,,,,,,,3
g1_1107,葉の形態によって植物を分類する,葉の種類,樹木の葉の種類,,,,,,,3
g1_155,地球は真円ではなく、楕円形である。,地球の局地におけるオゾン層,惑星と地球の位置関係を表しています,,,,,,,3
g1_2437,この画像は蜂の生態について説明しています,昆虫と植物の図,植物に集まる虫が載っている,,,,,,,3
g1_3530,細胞と細かい説明,細胞が分解される,微生物は葉緑体などで構成されている,,,,,,,3
g1_3558,わからない,体の部位を使って何かを表現している,身体の部位が並んでいる,,,,,,,3
g1_4185,細かな石は粘土でひとつにまとまる,細胞同士がくっつきあって一つの塊となっている画像である,幾種類のパーツがひとまとまりになる。,,,,,,,3
g1_4365,果物の種類,それぞれの果物の英語はなんというかの説明,果物の名前を示している,,,,,,,3
g1_4443,葉っぱには数の違いがある,植物によって葉の付け方が異なる例,葉っぱの種類,,,,,,,3
g1_4490,髪の毛が成長する過程を断面で表現している。,細胞核の増大を時系列で表している画像である,わからない,,,,,,,3
g1_495,これは、クジラの食生活について表しており、クジラが食べるのはエビなどの甲殻類やプランクトンです。,海洋には鯨を頂点とした食物連鎖が存在する。,エビはプランクトンを捕食する、そのエビを捕食することにより鯨もプランクトンを体内に取り込む。,,,,,,,3
g1_523,月の過程,丸の中の色が変化している,地球から見る月の満ち欠けの仕組みについて,,,,,,,3
g1_935,様々な鳥たちの足の形に違いがある,鳥の顔と足の詳細を示している,これはそれぞれの鳥が持つ足について説明しているものである,,,,,,,3
g1_967,植物が生えている,枝葉の伸び方の差異,植物の種類,,,,,,,3
g2_1065,細胞にはミトコンドリアや核などがある。,真核細胞は細胞核と細胞小器官から成り立っている。,細胞の中がどのように出来ているのか。,,,,,,,3
g2_1093,植物が描かれた,植物の葉の付き方には互生や対生などがある。,植物の葉のつき方,,,,,,,3
g2_1223,細胞の各部位には名称がある,細胞が様々な小器官を内包している。,細胞の中にはあらゆるものが入って成り立っている。,,,,,,,3
g2_1227,わかりません,顕微鏡で見た人間の組織,細胞の個々の名称を表した図。,,,,,,,3
g2_1495,雨が降る仕組みについての説明です,雪が降る仕組みを表す,水は地球上でサイクルしている。,,,,,,,3
g2_150,地球と月の自転、公転関係について図示されている,地球の周りを月がまわっている。,地球は自転しつつ、月は公転している,,,,,,,3
g2_1511,分子の結合の説明しています。,分子のプラス・マイナスを表しています,マイナス原子の内側に、プラス原子が集まっている,,,,,,,3
g2_1541,電球は電流を正確に流すと灯る,電池の直列と並列の違いを表している,直列回路と並列回路の比較,,,,,,,3
g2_1592,電池回路の順番,電気の回路図を表現している,スイッチが切られた状態では電気が流れず電気抵抗は発生しない。,,,,,,,3
g2_1647,目の写り方を説明しています。,懐中電灯の光が広がる仕組み。,太陽光を虫眼鏡を使って紙を燃やした,,,,,,,3
g2_1652,このモデルは、太陽と地球と月の位置関係と見え方を理解するのに役立てられる。,光の量が調節される,影は場所により濃さが変わる,,,,,,,3
g2_174,地層の中心が与える影響が説明されたものである,核が全方位にエネルギーを放出した,地面が割れる,,,,,,,3
g2_2360,植物が成長する。,植物は成長し、種子を虫に運んでもらって種を増やしていく。,植物の成長を記録した,,,,,,,3
g2_2602,地球が多方面に矢印を発しており、その右側には細胞がある。,細胞の作りを地球で例えている,地球の重力は月の重力の影響を受ける,,,,,,,3
g2_2754,地球の太陽光が当たっている場所と当たっていない場所でどれくらい明るさが違うか説明している,太陽の光が地球の地表にあたる部分が昼であり、そうでない部分が夜である。,地球と太陽の関係,,,,,,,3
g2_2793,山が出来る過程,大地の熱などの吸収と発散,地球の内部が膨張している,,,,,,,3
g2_2872,髪の毛がどのようにはえるか説明しています,毛根の仕組みと毛根付近の構造図,生命の毛根から皮膚の中までの様子を表している,,,,,,,3
g2_2885,ミトコンドリアが模式図になっている,豆を切ったらこうなっていた,豆が割れている,,,,,,,3
g2_2902,植物の断面図,ある植物の断面,緑の板状のものが連なっていて、それが覆われている,,,,,,,3
g2_2932,植物はどのように葉を成長させていくのか,葉脈が広がっている,葉の葉脈はここです,,,,,,,3
g2_2966,太陽の各パーツの名称です,構造が分解される,6つの異なる大きさの円が重なっている,,,,,,,3
