0,1,2,3,4,5,6,7,8,9,number_of_captions
g1_1979,捕食される過程を示している。,食物連鎖の図,魚の形態,食物連鎖が起こった,海中生物の食物連鎖を表現している,水中の食物連鎖を説明している,大きい魚は小さい魚を食べる,植物は虫に食べられその虫は小魚に食べられその小魚は肉食魚に食べられる,,8
g1_4501,博物の葉は色々な形がある,葉っぱの種類,桑の葉の分類。,葉っぱの種類や特徴を示している。,葉っぱの形の違いについて説明している,一枚の葉にはいくつかの形状がある。,葉の形状の種類,葉っぱの種類,,8
g2_1089,葉っぱを分かりやすく三つの名称を書いたものである,葉の名称,葉っぱの表面,葉っぱの説明。すじとか,葉の裏面です。,葉の表面構造の名称を3種類挙げています,葉っぱの解説,葉っぱの部位の名称,,8
g2_1371,直列つなぎの解説,電流の配列実験,電流の流れる様子,電池１つと豆電球３つ、スイッチが直流で繋がっている。,ソケットが電池につながれている。,電球と電池をつないでいる,電池のプラスマイナスの接続方法を示している,わかりません。,,8
g2_1549,乾電池で豆電球を点灯させている,電池で電球が発電している。,ライトの仕組みを表している,電池に電球を繋げると光る。,アルカリ電池のプラスマイナスの電球の付き方。,豆電球の発電装置,電池で電球が光っている,電球が電池の電力で点灯している,,8
g2_178,プレート同士が重なっている部分が大きくずれることによって、津波が発生する。,プレートの解説,地震が何故起こるのかが書かれている,地震が起きる仕組み,大地がせり上がる。,大陸プレートの断層が動く事によって地殻変動が起こる。,地震が起きた後と起きる前,プレートが押し上げられ、地盤が崩壊する。,,8
g2_1865,サバンナはたくさんの生き物が住んでいる,アフリカの動植物,サバンナの食物連鎖。,動植物の名前の説明,食物連鎖における関連性についての絵が描かれている。,動植物を科目ごとに分けて表している画像,動物と植物の名称を載せている,食物連鎖によって自然界は構築されている,,8
g2_2822,オゾン層は地球を守る大切な役割を持つ,太陽が地球を照らしている。,宇宙からの光が地球に向けて出ているが1部は弾かれている,地球は宇宙からの電磁波をいくつかの層で防げる。,太陽フレアによる地球への影響と磁気嵐の屈折,紫外線は半分地球に降る。,太陽は、地球を照らしています。,太陽光と地球の大気の関係,,8
g2_2857,人間の眼球の成分表示,眼球の詳細を示している,人間の目の構造,目玉の内部が詳細に説明している,人間の眼の構造を表しています,目の構造を研究している,眼球の内部。水晶体や瞳孔、視神経などによって構成されている。,眼球の中央に水晶体が張り付いている,,8
g2_2861,眼球の中は赤い。,目の断面図に目の組織の名称を引き出し線で記している,目の仕組みを断面図で解説している。,眼球の各部位の名称説明,眼球の形と各部位の正式な名称,眼球には神経が繋がっている。,眼球を縦に切って切断面から見た断面図です。各部に線が引かれ線の先に説明が描かれています。,眼球の断面図,,8
